ID,Variable 1,Dependency,Variable 2
1,ASPD,->,BPD
2,ASPD,->,CriminalAttitude
3,ASPD,->,GangMember
4,Anxiety,->,AbilityToCope
5,Anxiety,->,Anger
6,Anxiety,->,Depression
7,Anxiety,->,ParanoidDelusions
8,Anxiety,->,StrangeExperiences
9,Anxiety,->,Stress
10,Anxiety,->,SymptomsOfMentalIllness
11,CannabisAfterRelease,->,CannabisDependence
12,CannabisBeforePrisonSentence,->,Age
13,CannabisBeforePrisonSentence,->,CannabisAfterRelease
14,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
15,CannabisBeforePrisonSentence,->,FinancialDifficulties
16,CannabisBeforePrisonSentence,->,PCLRfactor2
17,CannabisDuringPrisonSentence,->,EcstasyDuringPrisonSentence
18,CocaineAfterRelease,->,CannabisAfterRelease
19,CocaineAfterRelease,->,CocaineBeforePrisonSentence
20,CocaineAfterRelease,->,ViolentThoughts
21,CocaineBeforePrisonSentence,->,CannabisBeforePrisonSentence
22,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
23,CocaineBeforePrisonSentence,->,EcstasyBeforePrisonSentence
24,CocaineDependence,->,CocaineAfterRelease
25,ComplianceWithSupervision,->,ResponsivenessToTreatment
26,CriminalNetwork,->,CriminalFamilyBackground
27,Depression,->,EmploymentOrTraining
28,EcstasyAfterRelease,->,CocaineAfterRelease
29,EcstasyAfterRelease,->,EcstasyDependence
30,CannabisBeforePrisonSentence,-,EcstasyBeforePrisonSentence
31,EcstasyBeforePrisonSentence,->,CriminalNetwork
32,EcstasyDependence,->,CocaineDependence
33,FinancialDifficulties,->,DomesticStability
34,AbuseNeglectAsChild,-,Gender
35,Gender,->,EcstasyDependence
36,Gender,-,Intelligence
37,Gender,-,TimeAtRisk
38,HazardousDrinkingAfterRelease,->,AlcoholDependence
39,HazardousDrinkingAfterRelease,->,EcstasyAfterRelease
40,NegativeAttitude,->,ComplianceWithSupervision
41,PCLRfactor2,->,ASPD
42,PCLRfactor2,->,pclrscore
43,ParanoidDelusions,->,ThoughtInsertion
44,ParanoidDelusions,->,Victimisation
45,PriorViolentConvictions,->,Violence
46,Stress,->,FinancialDifficulties
47,SymptomsOfMentalIllness,->,Hallucinations
48,Violence,->,HazardousDrinkingAfterRelease
49,ViolentThoughts,->,Anxiety
50,pclrscore,->,Impulsivity
51,pclrscore,->,NegativeAttitude
52,pclrscore,->,PCLRfacet3
53,pclrscore,->,PCLRfactor1
54,Gender,-,prioracq
55,PriorViolentConvictions,-,prioracq
