ID,Variable 1,Dependency,Variable 2
1,PCLRfacet3,->,Violence
2,SymptomsOfMentalIllness,->,BPD
3,Gender,-,prioracq
4,CocaineAfterRelease,-,CocaineDependence
5,Victimisation,->,FinancialDifficulties
6,CannabisDuringPrisonSentence,-,EcstasyDuringPrisonSentence
7,CocaineAfterRelease,->,Depression
8,AbilityToCope,->,FinancialDifficulties
9,CocaineDependence,->,CriminalAttitude
10,CocaineAfterRelease,->,Anxiety
11,EcstasyAfterRelease,->,Depression
12,SocialWithdraw,->,Depression
13,CocaineAfterRelease,->,CriminalAttitude
14,EcstasyBeforePrisonSentence,->,CocaineBeforePrisonSentence
15,Education,-,Intelligence
16,GangMember,->,CriminalAttitude
17,EcstasyAfterRelease,->,Anxiety
18,SocialWithdraw,->,Anxiety
19,CannabisDependence,->,CriminalAttitude
20,Anxiety,->,ResponsivenessToTreatment
21,ASPD,->,BPD
22,EcstasyAfterRelease,->,CriminalAttitude
23,ComplianceWithSupervision,->,ResponsivenessToTreatment
24,BPD,->,Violence
25,CannabisAfterRelease,-,CannabisDependence
26,SymptomsOfMentalIllness,->,ResponsivenessToTreatment
27,LivingCircumstances,->,Anxiety
28,ASPD,->,Violence
29,DomesticStability,-,LivingCircumstances
30,LivingCircumstances,->,CriminalAttitude
31,ThoughtInsertion,->,ParanoidDelusions
32,PCLRfactor1,->,Violence
33,CannabisAfterRelease,->,Depression
34,CriminalFamilyBackground,->,CriminalAttitude
35,RefuseFailToAttendTherapy,->,Violence
36,ViolentThoughts,->,ParanoidDelusions
37,Impulsivity,->,Violence
38,Anger,-,Stress
39,EcstasyAfterRelease,-,EcstasyDependence
40,CannabisAfterRelease,->,CriminalAttitude
41,CannabisAfterRelease,->,Anxiety
42,Depression,->,ResponsivenessToTreatment
43,CannabisDuringPrisonSentence,-,CocaineDuringPrisonSentence
44,PCLRfactor2,->,Violence
45,pclrscore,->,Violence
46,AlcoholDependence,-,HazardousDrinkingAfterRelease
47,CriminalNetwork,->,CriminalAttitude
48,CriminalFamilyBackground,-,CriminalNetwork
49,CannabisBeforePrisonSentence,->,CocaineBeforePrisonSentence
50,PCLRfacet3,-,PCLRfactor2
51,PriorViolentConvictions,->,Violence
52,Victimisation,->,ParanoidDelusions
53,StrangeExperiences,->,ParanoidDelusions
54,CocaineDuringPrisonSentence,-,EcstasyDuringPrisonSentence
55,EcstasyDependence,->,CriminalAttitude
