ID,Parent,Child
1,Face_masks,New_infections
2,Face_masks,Hospital_admissions
3,New_infections,Hospital_admissions
4,New_infections,Patients_in_hospital
5,New_infections,Deaths_with_COVID_on_certificate
6,New_infections,Patients_in_MVBs
7,Hospital_admissions,Patients_in_MVBs
8,Lockdown,New_infections
9,Lockdown,Leisure_activity
10,Lockdown,Work_and_school_activity
11,Lockdown,Transportation_activity
12,Lockdown,Hospital_admissions
13,Leisure_activity,New_infections
14,Transportation_activity,New_infections
15,Work_and_school_activity,New_infections
16,Majority_COVID_19_variant,New_infections
17,Majority_COVID_19_variant,Second_dose_uptake
18,Majority_COVID_19_variant,Hospital_admissions
19,Deaths_with_COVID_on_certificate,Excess_mortality
20,Patients_in_hospital,Deaths_with_COVID_on_certificate
21,Positive_tests,New_infections
22,Season,New_infections
23,Second_dose_uptake,New_infections
24,Second_dose_uptake,Hospital_admissions
25,Second_dose_uptake,Deaths_with_COVID_on_certificate
26,Tests_across_all_4_Pillars,Positive_tests
27,Tests_across_all_4_Pillars,New_infections
