ID,Parent,Child
1,BF_BreastfedMonths,CHI_Weight4Height
2,BF_BreastfedMonths,IMM_Measles
3,BF_BreastfedMonths,IMM_Diptheria
4,BF_EarlyBreastfeeding,CHI_Weight4Height
5,BF_EarlyBreastfeeding,IMM_Diptheria
6,BF_EarlyBreastfeeding,IMM_Measles
7,BF_EarlyBreastfeeding,IMM_VitaminA1
8,CUL_LanguageGroup,IMM_Diptheria
9,CUL_LanguageGroup,IMM_Measles
10,WSH_ImprovedWaterSource,DIA_HadDiarrhoea
11,CUL_Religion,IMM_Diptheria
12,CUL_Religion,IMM_Measles
13,ECO_WealthQuintile,WSH_ImprovedWaterSource
14,ECO_WealthQuintile,FP_ModernMethod
15,GEO_Region,SRV_Near
16,MTH_Education,FP_ModernMethod
17,MTH_Education,BF_BreastfedMonths
18,MTH_Education,IMM_Diptheria
19,MTH_Education,IMM_Measles
20,WSH_ImprovedToilet,DIA_HadDiarrhoea
21,WSH_SafeStoolDisposal,DIA_HadDiarrhoea
22,WSH_WashWithAgent,DIA_HadDiarrhoea
23,WSH_WaterTreated,DIA_HadDiarrhoea
24,KNW_WatchTV,IMM_Diptheria
25,KNW_WatchTV,IMM_Measles
